Year,Wool & sheepskins (in $M),Metal ores & minerals (in $M),Meat & meat preparations (in $M)
Jul-71,40,75,56
Aug-71,40,75,56
Sep-71,38,71,52
Oct-71,42,60,37
Nov-71,45,64,39
Dec-71,44,64,39
Jan-72,56,57,39
Feb-72,56,57,39
Mar-72,63,64,43
Apr-72,64,58,49
May-72,77,69,58
Jun-72,66,59,51
Jul-72,59,57,63
Aug-72,73,71,78
Sep-72,72,70,77
Oct-72,89,79,61
Nov-72,95,83,65
Dec-72,86,76,59
Jan-73,150,82,78
Feb-73,129,71,68
Mar-73,137,76,72
Apr-73,110,66,68
May-73,141,85,87
Jun-73,129,78,81
Jul-73,98,79,85
Aug-73,107,86,93
Sep-73,100,82,87
Oct-73,116,93,101
Nov-73,106,85,92
Dec-73,100,80,87
Jan-74,126,87,52
Feb-74,130,90,54
Mar-74,115,80,47
Apr-74,68,90,27
May-74,95,126,38
Jun-74,81,106,32
Jul-74,70,105,27
Aug-74,70,105,27
Sep-74,79,117,30
Oct-74,49,136,42
Nov-74,49,136,42
Dec-74,50,139,42
Jan-75,70,130,39
Feb-75,70,130,39
Mar-75,66,123,36
Apr-75,63,131,38
May-75,67,139,41
Jun-75,67,138,41
Jul-75,82,145,53
Aug-75,82,145,53
Sep-75,71,124,45
Oct-75,71,155,52
Nov-75,65,141,48
Dec-75,68,146,49
Jan-76,109,151,54
Feb-76,109,151,54
Mar-76,123,170,62
Apr-76,87,168,65
May-76,76,148,57
Jun-76,100,194,76
Jul-76,115,184,70
Aug-76,115,184,70
Sep-76,117,190,72
Oct-76,130,178,60
Nov-76,138,189,64
Dec-76,127,173,59
Jan-77,162,189,77
Feb-77,143,167,68
Mar-77,157,184,74
Apr-77,113,194,87
May-77,120,206,92
Jun-77,121,205,93
Jul-77,91,193,93
Aug-77,66,225,91
Sep-77,77,203,81
Oct-77,70,232,92
Nov-77,120,200,96
Dec-77,138,182,76
Jan-78,144,200,79
Feb-78,105,171,109
Mar-78,109,180,96
Apr-78,131,175,102
May-78,121,183,108
Jun-78,120,256,95
Jul-78,128,193,124
Aug-78,107,216,116
Sep-78,57,198,93
Oct-78,107,216,118
Nov-78,152,235,133
Dec-78,124,202,107
Jan-79,133,226,178
Feb-79,150,249,144
Mar-79,168,194,157
Apr-79,161,234,143
May-79,187,240,214
Jun-79,134,213,184
Jul-79,123,234,142
Aug-79,104,203,131
Sep-79,105,250,130
Oct-79,160,329,181
Nov-79,195,265,187
Dec-79,196,234,137
Jan-80,227,282,171
Feb-80,108,284,133
Mar-80,127,301,138
Apr-80,153,312,105
May-80,135,274,150
Jun-80,157,338,124
Jul-80,148,322,138
Aug-80,107,302,122
Sep-80,109,252,164
Oct-80,137,313,152
Nov-80,167,262,161
Dec-80,184,286,115
Jan-81,192,300,148
Feb-81,188,253,85
Mar-81,174,238,109
Apr-81,189,247,137
May-81,176,350,115
Jun-81,149,285,146
Jul-81,105,285,112
Aug-81,116,335,117
Sep-81,120,258,104
Oct-81,161,260,120
Nov-81,178,244,101
Dec-81,180,363,82
Jan-82,193,254,116
Feb-82,193,351,115
Mar-82,210,299,118
Apr-82,163,308,134
May-82,146,312,147
Jun-82,128,328,151
Jul-82,109,413,164
Aug-82,111,386,137
Sep-82,112,283,160
Oct-82,144,343,156
Nov-82,196,296,146
Dec-82,253,369,126
Jan-83,122,290,98
Feb-83,163,225,111
Mar-83,168,303,131
Apr-83,140,336,132
May-83,170,375,149
Jun-83,131,346,122
Jul-83,115,345,136
Aug-83,108,331,141
Sep-83,137,321,152
Oct-83,177,355,139
Nov-83,195,366,99
Dec-83,216,389,127
Jan-84,171,274,68
Feb-84,176,349,84
Mar-84,212,316,106
Apr-84,141,383,72
May-84,171,334,118
Jun-84,141,352,115
Jul-84,120,382,138
Aug-84,133,420,137
Sep-84,125,369,115
Oct-84,171,374,105
Nov-84,210,356,106
Dec-84,272,399,91
Jan-85,268,347,69
Feb-85,225,358,83
Mar-85,317,370,137
Apr-85,276,440,122
May-85,268,487,172
Jun-85,266,480,134
Jul-85,219,481,156
Aug-85,190,419,151
Sep-85,179,431,120
Oct-85,238,412,158
Nov-85,326,396,129
Dec-85,331,444,140
Jan-86,277,338,100
Feb-86,276,356,131
Mar-86,282,357,157
Apr-86,263,443,145
May-86,236,364,173
Jun-86,211,436,138
Jul-86,237,410,171
Aug-86,220,480,187
Sep-86,213,500,197
Oct-86,306,532,211
Nov-86,339,396,183
Dec-86,426,417,199
Jan-87,344,358,148
Feb-87,305,328,162
Mar-87,387,361,192
Apr-87,392,342,205
May-87,401,439,187
Jun-87,350,395,205
Jul-87,316,402,217
Aug-87,256,506,215
Sep-87,384,357,195
Oct-87,465,566,213
Nov-87,564,463,237
Dec-87,673,447,228
Jan-88,596,481,183
Feb-88,582,427,188
Mar-88,608,477,284
Apr-88,502,415,196
May-88,466,497,220
Jun-88,394,442,181
Jul-88,356,528,170
Aug-88,297,496,171
Sep-88,395,482,214
Oct-88,594,475,219
Nov-88,590,580,199
Dec-88,765,517,195
Jan-89,618,499,120
Feb-89,407,588,150
Mar-89,630,584,214
Apr-89,507,600,186
May-89,446,702,227
Jun-89,376,638,205
Jul-89,325,612,225
Aug-89,277,642,259
Sep-89,340,644,247
Oct-89,457,620,255
Nov-89,322,645,291
Dec-89,314,563,252
Jan-90,276,485,180
Feb-90,263,661,236
Mar-90,426,674,274
Apr-90,365,660,207
May-90,260,704,252
Jun-90,127,690,258
Jul-90,224,734,284
Aug-90,178,772,250
Sep-90,195,729,275
Oct-90,192,739,285
Nov-90,233,676,271
Dec-90,301,828,313
Jan-91,205,665,165
Feb-91,272,521,246
Mar-91,200,776,258
Apr-91,307,697,244
May-91,307,716,288
Jun-91,272,704,294
Jul-91,274,674,293
Aug-91,246,739,279
Sep-91,272,650,282
Oct-91,349,695,285
Nov-91,391,709,310
Dec-91,400,697,291
Jan-92,300,620,191
Feb-92,301,603,279
Mar-92,378,606,298
Apr-92,353,668,317
May-92,315,640,347
Jun-92,253,637,262
Jul-92,241,664,309
Aug-92,199,648,279
Sep-92,320,677,343
Oct-92,360,744,355
Nov-92,366,599,334
Dec-92,384,762,353
Jan-93,258,619,219
Feb-93,256,592,278
Mar-93,287,642,283
Apr-93,250,688,282
May-93,228,660,356
Jun-93,207,648,352
Jul-93,205,639,384
Aug-93,169,708,327
Sep-93,236,700,354
Oct-93,302,652,396
Nov-93,328,685,380
Dec-93,349,634,345
Jan-94,264,575,251
Feb-94,203,510,276
Mar-94,390,629,346
Apr-94,331,638,308
May-94,329,581,375
Jun-94,261,720,300
Jul-94,260,580,307
Aug-94,220,561,291
Sep-94,306,656,327
Oct-94,405,663,370
Nov-94,447,651,359
Dec-94,423,664,289
Jan-95,339,603,230
Feb-95,370,587,264
Mar-95,468,768,321
Apr-95,375,652,303
May-95,318,836,301
Jun-95,284,752,298
Jul-95,316,784,328
Aug-95,224,768,266
Sep-95,287,663,293
Oct-95,328,724,305
Nov-95,311,738,308
Dec-95,374,821,320
Jan-96,270,723,208
Feb-96,282,650,245
Mar-96,357,872,317
Apr-96,311,697,240
May-96,285,761,244
Jun-96,322,888,218
Jul-96,261,691,227
Aug-96,250,827,212
Sep-96,282,719,208
Oct-96,347,772,250
Nov-96,364,724,277
Dec-96,352,830,242
Jan-97,277,712,187
Feb-97,313,725,251
Mar-97,361,821,259
Apr-97,307,851,283
May-97,344,840,292
Jun-97,283,917,271
Jul-97,391,765,294
Aug-97,287,943,296
Sep-97,324,838,292
Oct-97,410,907,344
Nov-97,437,896,332
Dec-97,429,970,342
Jan-98,298,840,220
Feb-98,324,813,301
Mar-98,311,930,334
Apr-98,276,984,274
May-98,291,959,358
Jun-98,238,994,343
Jul-98,240,840,339
Aug-98,197,1067,313
Sep-98,251,943,365
Oct-98,250,1003,349
Nov-98,237,1001,352
Dec-98,252,1091,363
Jan-99,165,801,226
Feb-99,225,800,330
Mar-99,205,945,373
Apr-99,184,732,332
May-99,224,923,336
Jun-99,173,891,329
Jul-99,181,836,359
Aug-99,194,867,349
Sep-99,210,892,362
Oct-99,235,952,379
Nov-99,276,926,393
Dec-99,286,1019,395
Jan-00,196,820,218
Feb-00,283,971,359
Mar-00,281,957,411
Apr-00,252,1084,384
May-00,278,1192,436
Jun-00,289,1241,424
Jul-00,274,1105,445
Aug-00,240,1289,423
Sep-00,304,1204,440
Oct-00,389,1308,534
Nov-00,401,1316,495
Dec-00,323,1344,468
Jan-01,237,1165,300
Feb-01,317,1129,446
Mar-01,443,1310,566
Apr-01,325,1335,531
May-01,332,1317,545
Jun-01,309,1382,602
Jul-01,290,1413,555
Aug-01,313,1262,563
Sep-01,315,1228,624
Oct-01,366,1351,617
Nov-01,327,1123,516
Dec-01,278,1383,504
Jan-02,176,1034,298
Feb-02,313,1144,450
Mar-02,421,1132,563
Apr-02,292,1285,495
May-02,328,1152,551
Jun-02,275,1261,512
Jul-02,311,1193,495
Aug-02,271,1209,483
Sep-02,311,1261,468
Oct-02,430,1243,570
Nov-02,416,1157,530
Dec-02,379,1323,536
Jan-03,230,1121,315
Feb-03,310,1131,446
Mar-03,356,1277,506
Apr-03,249,1175,447
May-03,178,1178,434
Jun-03,161,1260,426
Jul-03,194,1101,405
Aug-03,171,1194,396
Sep-03,243,1157,449
Oct-03,258,1320,499
Nov-03,248,1186,501
Dec-03,244,1317,484
Jan-04,149,1045,339
Feb-04,221,1016,463
Mar-04,275,1304,512
Apr-04,253,1235,481
May-04,277,1492,617
Jun-04,280,1518,612
Jul-04,241,1415,557
Aug-04,189,1528,546
Sep-04,268,1489,599
Oct-04,266,1568,629
Nov-04,244,1455,601
Dec-04,262,1688,595
Jan-05,147,1511,362
Feb-05,229,1298,537
Mar-05,243,1713,620
Apr-05,235,2006,608
May-05,273,2120,651
Jun-05,239,2061,628
Jul-05,221,2062,618
Aug-05,147,2087,533
Sep-05,212,1879,521
Oct-05,228,2416,579
Nov-05,223,2219,601
Dec-05,226,2937,600
Jan-06,139,1812,334
Feb-06,197,2525,521
Mar-06,284,2339,629
Apr-06,252,2561,569
May-06,193,2865,596
Jun-06,221,3234,608
Jul-06,226,3053,579
Aug-06,140,2871,595
Sep-06,243,2677,625
Oct-06,262,3342,669
Nov-06,255,2872,694
Dec-06,282,3363,665
Jan-07,178,2668,414
Feb-07,276,2861,577
Mar-07,340,2618,641
Apr-07,275,3049,532
May-07,289,3125,560
Jun-07,298,2912,529
Jul-07,201,3145,515
Aug-07,140,3146,516
Sep-07,226,3059,570
Oct-07,261,2823,538
Nov-07,277,3043,613
Dec-07,320,3761,620
Jan-08,179,3344,341
Feb-08,247,2762,466
Mar-08,292,3591,574
Apr-08,233,3894,585
May-08,245,4310,651
Jun-08,179,4430,553
Jul-08,198,4430,575
Aug-08,135,4724,575
Sep-08,204,5358,637
Oct-08,273,5456,800
Nov-08,228,4114,771
Dec-08,201,4329,670
Jan-09,130,3933,391
Feb-09,204,4118,629
Mar-09,225,4567,682
Apr-09,187,3672,559
May-09,188,3664,627
Jun-09,149,3691,538
Jul-09,138,3564,528
Aug-09,94,3837,547
Sep-09,149,3790,515
Oct-09,217,3707,546
Nov-09,230,3658,526
Dec-09,203,4121,550
Jan-10,138,3792,323
Feb-10,221,4131,443
Mar-10,273,4424,550
Apr-10,211,5618,533
May-10,207,5916,645
Jun-10,222,7080,644
Jul-10,197,6449,613
Aug-10,124,6239,575
Sep-10,175,6502,527
Oct-10,232,6422,574
Nov-10,263,6269,633
Dec-10,309,6846,650
Jan-11,168,6089,318
Feb-11,323,5530,597
Mar-11,387,7223,652
Apr-11,334,6908,588
May-11,281,7255,598
Jun-11,255,7737,605
Jul-11,217,7351,593
Aug-11,207,8077,602
Sep-11,245,8195,581
Oct-11,319,7964,675
Nov-11,262,6741,655
Dec-11,299,7622,668
Jan-12,203,5510,378
Feb-12,276,6077,554
Mar-12,317,6371,602
Apr-12,300,7144,554
May-12,278,7289,633
Jun-12,200,7076,626
Jul-12,209,6734,606
Aug-12,126,6178,595
Sep-12,183,5411,580
Oct-12,234,5800,705
Nov-12,288,5908,676
Dec-12,297,7343,694
Jan-13,160,5981,408
Feb-13,298,6261,596
Mar-13,339,7251,695
Apr-13,254,7267,651
May-13,247,7615,724
Jun-13,234,7358,715
Jul-13,241,7300,777
Aug-13,179,8224,768
Sep-13,227,8468,751
Oct-13,298,8093,834
Nov-13,288,7952,850
Dec-13,290,9538,884
Jan-14,198,7885,595
Feb-14,263,8031,837
Mar-14,268,8437,959
Apr-14,213,8119,832
May-14,210,7528,886
Jun-14,202,6943,889
Jul-14,200,7019,988
Aug-14,156,7294,954
Sep-14,235,6577,1004
Oct-14,266,6796,1202
Nov-14,270,6380,1204
Dec-14,314,7427,1225
Jan-15,155,6282,735
Feb-15,312,5904,1040
Mar-15,324,6188,1236
Apr-15,256,5360,1063
May-15,340,6193,1187
Jun-15,326,6568,1137
Jul-15,264,5859,1121
Aug-15,192,6203,1123
Sep-15,255,6688,1116
Oct-15,278,6150,1177
Nov-15,275,5578,1086
Dec-15,327,5435,1118
Jan-16,187,4361,662
Feb-16,329,5158,932
Mar-16,328,5821,1016
Apr-16,272,5780,900
May-16,310,6150,1020
Jun-16,266,6040,985
Jul-16,235,5645,873
Aug-16,190,6417,843
Sep-16,302,6374,880
Oct-16,303,6228,863
Nov-16,336,7117,1036
Dec-16,350,9078,1080
Jan-17,240,7401,663
Feb-17,310,7432,872
Mar-17,386,8386,995
Apr-17,385,7584,865
May-17,319,7002,1063
Jun-17,261,6436,1028
Jul-17,298,6556,1069
Aug-17,218,7483,1024
Sep-17,337,7692,1043
Oct-17,411,6801,1033
Nov-17,410,7122,1048
Dec-17,460,8282,1133
Jan-18,206,7100,706
Feb-18,438,7125,971
Mar-18,446,7722,1107
Apr-18,359,7556,1009
May-18,424,8238,1246
Jun-18,372,8117,1216
Jul-18,311,7476,1181
Aug-18,240,7750,1261
Sep-18,419,8277,1196
Oct-18,388,8399,1201
Nov-18,331,8223,1201
Dec-18,360,9318,1312
Jan-19,260,8006,857
Feb-19,391,8909,1157
Mar-19,461,8920,1399
Apr-19,402,9875,1304
May-19,341,12050,1318
Jun-19,247,12474,1371
Jul-19,268,12280,1373
Aug-19,115,11625,1401
Sep-19,190,10880,1405
Oct-19,263,9973,1564
Nov-19,277,10344,1652
Dec-19,261,11717,1663
Jan-20,210,9371,1133
Feb-20,254,8532,1420
Mar-20,340,11891,1460
Apr-20,247,11381,1282
May-20,164,11782,1340
Jun-20,162,13002,1220
Jul-20,173,11397,1068
Aug-20,107,12695,1156
Sep-20,134,12645,973
Oct-20,182,13694,1209
Nov-20,208,12700,1202
Dec-20,248,16376,1243
Jan-21,125,14623,738
Feb-21,237,14071,992
Mar-21,334,16655,1217
Apr-21,287,16872,1113
May-21,319,19526,1267
Jun-21,311,21009,1170
Jul-21,366,18984,1338
Aug-21,281,16639,1341
Sep-21,207,13272,1329
Oct-21,282,11063,1387
Nov-21,311,10740,1475
Dec-21,307,13816,1435
Jan-22,176,13146,956
Feb-22,311,12485,1144
Mar-22,334,14735,1402
Apr-22,320,14331,1314
May-22,349,15396,1475
Jun-22,321,16356,1628
Jul-22,340,12824,1480
Aug-22,300,13357,1604
Sep-22,278,13985,1412
Oct-22,293,13581,1513
Nov-22,222,14476,1343
Dec-22,245,15444,1331
Jan-23,199,15668,938
Feb-23,259,13341,1195
Mar-23,400,17400,1596
Apr-23,277,14618,1432
May-23,321,15468,1478
Jun-23,274,16470,1583
Jul-23,274,13752,1640
Aug-23,133,15347,1601
Sep-23,274,15506,1577
Oct-23,253,16332,1572
Nov-23,222,16201,1616
Dec-23,301,17194,1570
Jan-24,191,15041,1191
Feb-24,260,12920,1487
Mar-24,284,14738,1789
Apr-24,278,13120,1524
May-24,314,14573,1802
Jun-24,243,15142,1836
Jul-24,235,12552,1883
Aug-24,180,12966,1852
Sep-24,173,12571,1874
Oct-24,250,12672,1983
Nov-24,302,13359,2017
Dec-24,240,15584,2081
Jan-25,148,13246,1370
Feb-25,248,11493,2058
Mar-25,270,15415,2093
Apr-25,276,12987,2213
May-25,235,13775,2228
Jun-25,200,14828,2321
Jul-25,210,12669,2517
Aug-25,165,13145,2321
Sep-25,181,14517,2259
Oct-25,280,15278,2385
Nov-25,265,13719,2664
Dec-25,299,16030,2749
Jan-26,196,13781,1559
Feb-26,354,11380,2435